"Raw_Param","Readable_Name","Type","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"attributenodes[1, 1]","949062 - referent_units","Student Mastery",0.934277777777778,0.247802790914966,0,1,1,1,18000
"attributenodes[2, 1]","489935 - referent_units","Student Mastery",0.287388888888889,0.452557061207146,0,0,1,1,9149
"attributenodes[3, 1]","546995 - referent_units","Student Mastery",0.0013333333333334,0.0364914994892563,0,0,0,1.04,16186
"attributenodes[4, 1]","291341 - referent_units","Student Mastery",0.0940555555555555,0.291914100596497,0,0,1,1,17576
"attributenodes[5, 1]","773245 - referent_units","Student Mastery",0.996111111111111,0.0622413098612711,1,1,1,1.02,15266
"attributenodes[6, 1]","569699 - referent_units","Student Mastery",0.163888888888887,0.370184999899637,0,0,1,1,16851
"attributenodes[7, 1]","207712 - referent_units","Student Mastery",0.987722222222222,0.110125872128937,1,1,1,1,18000
"attributenodes[8, 1]","072657 - referent_units","Student Mastery",0.00772222222222225,0.0875386499167062,0,0,0,1,16286
"attributenodes[9, 1]","611131 - referent_units","Student Mastery",0.9925,0.0862795663215953,1,1,1,1.03,13043
"attributenodes[10, 1]","751398 - referent_units","Student Mastery",0.0152222222222221,0.122439123751365,0,0,0,1.01,18000
"attributenodes[11, 1]","140783 - referent_units","Student Mastery",0.718166666666668,0.449905046435703,0,1,1,1,14256
"attributenodes[12, 1]","967697 - referent_units","Student Mastery",0.113166666666667,0.316805221052281,0,0,1,1,8099
"attributenodes[13, 1]","388799 - referent_units","Student Mastery",0.957833333333333,0.20097483132675,0,1,1,1,17634
"attributenodes[14, 1]","217798 - referent_units","Student Mastery",0.612222222222222,0.487256978199524,0,1,1,1,16626
"attributenodes[15, 1]","006198 - referent_units","Student Mastery",5.55555555555628e-05,0.00745355992500057,0,0,0,1.29,9000
"attributenodes[16, 1]","051827 - referent_units","Student Mastery",0.948055555555556,0.22192105620891,0,1,1,1,17582
"attributenodes[17, 1]","961714 - referent_units","Student Mastery",0.0222222222222223,0.147409641007119,0,0,0,1.02,14815
"attributenodes[18, 1]","379967 - referent_units","Student Mastery",0.999722222222222,0.0166648146090283,1,1,1,1.11,18000
"attributenodes[19, 1]","275720 - referent_units","Student Mastery",0.999611111111111,0.0197169787761021,1,1,1,1.02,18000
"attributenodes[20, 1]","237544 - referent_units","Student Mastery",0.598055555555556,0.490304459999002,0,1,1,1,16347
"attributenodes[21, 1]","670143 - referent_units","Student Mastery",0.988833333333333,0.105083708057942,1,1,1,1,17040
"attributenodes[22, 1]","048629 - referent_units","Student Mastery",0.991666666666666,0.0909084595587033,1,1,1,1.03,18000
"attributenodes[23, 1]","823683 - referent_units","Student Mastery",0.751222222222223,0.432316756871256,0,1,1,1,16908
"attributenodes[24, 1]","262762 - referent_units","Student Mastery",0.385333333333334,0.486687491832647,0,0,1,1,15550
"attributenodes[25, 1]","338247 - referent_units","Student Mastery",0.347833333333333,0.476296030607766,0,0,1,1,16437
"attributenodes[26, 1]","133060 - referent_units","Student Mastery",0.163,0.369375933056235,0,0,1,1,18000
"attributenodes[27, 1]","406656 - referent_units","Student Mastery",0.950388888888889,0.217146191186996,0,1,1,1,18311
"attributenodes[28, 1]","402102 - referent_units","Student Mastery",0.072388888888889,0.259137933053083,0,0,1,1,12509
"attributenodes[29, 1]","688844 - referent_units","Student Mastery",0.475111111111111,0.499394031256168,0,0,1,1,17515
"attributenodes[30, 1]","401359 - referent_units","Student Mastery",0.495777777777777,0.499996061494096,0,0,1,1,14115
"attributenodes[31, 1]","593688 - referent_units","Student Mastery",0.1995,0.399635612403749,0,0,1,1,17704
"attributenodes[32, 1]","017737 - referent_units","Student Mastery",0.030166666666667,0.171050473100824,0,0,1,1.01,15199
"attributenodes[33, 1]","721326 - referent_units","Student Mastery",0.245000000000001,0.430099147825117,0,0,1,1,16332
"attributenodes[34, 1]","360948 - referent_units","Student Mastery",0.999722222222222,0.0166648146090267,1,1,1,NA,18000
"attributenodes[35, 1]","171801 - referent_units","Student Mastery",0.963277777777778,0.188084199049385,0,1,1,1,17520
"attributenodes[36, 1]","037597 - referent_units","Student Mastery",0.710777777777777,0.453413883484731,0,1,1,1,17330
"attributenodes[37, 1]","298241 - referent_units","Student Mastery",0.973277777777778,0.161274889672699,0,1,1,1,17324
"attributenodes[38, 1]","091743 - referent_units","Student Mastery",0.199888888888889,0.399927751807523,0,0,1,1,17533
"attributenodes[39, 1]","825897 - referent_units","Student Mastery",0.973722222222223,0.159964614105927,0,1,1,1,16390
"attributenodes[40, 1]","377260 - referent_units","Student Mastery",0.565722222222223,0.495675538216373,0,1,1,1,10014
"attributenodes[41, 1]","131360 - referent_units","Student Mastery",0.378222222222222,0.484956945073497,0,0,1,1,16846
"attributenodes[42, 1]","990978 - referent_units","Student Mastery",0.140111111111111,0.347111914746262,0,0,1,1,16257
"attributenodes[43, 1]","288447 - referent_units","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[44, 1]","558826 - referent_units","Student Mastery",0.818722222222222,0.385258862144964,0,1,1,1,15912
"attributenodes[45, 1]","183836 - referent_units","Student Mastery",0.00483333333333342,0.0693558898562063,0,0,0,1,16389
"attributenodes[46, 1]","535982 - referent_units","Student Mastery",0.998333333333333,0.0407919272932272,1,1,1,1.09,14824
"attributenodes[47, 1]","254309 - referent_units","Student Mastery",0.994388888888889,0.0746989728154471,1,1,1,1.03,16522
"attributenodes[48, 1]","253937 - referent_units","Student Mastery",0.997888888888889,0.0458995791248748,1,1,1,1.01,15201
"attributenodes[49, 1]","644116 - referent_units","Student Mastery",0.0472777777777772,0.212238290634069,0,0,1,1,18000
"attributenodes[50, 1]","175957 - referent_units","Student Mastery",0.0954444444444438,0.293836007176702,0,0,1,1,17777
"attributenodes[51, 1]","739726 - referent_units","Student Mastery",0.999722222222222,0.0166648146090263,1,1,1,1.29,18000
"attributenodes[52, 1]","023325 - referent_units","Student Mastery",0.999888888888889,0.0105406327100725,1,1,1,1,18000
"attributenodes[53, 1]","448125 - referent_units","Student Mastery",0.0117777777777778,0.107887480176604,0,0,0,1,14940
"attributenodes[54, 1]","045643 - referent_units","Student Mastery",0.994333333333333,0.0750657618612564,1,1,1,1.06,17000
"attributenodes[55, 1]","697772 - referent_units","Student Mastery",0.249555555555556,0.432767818968725,0,0,1,1,10421
"attributenodes[56, 1]","689170 - referent_units","Student Mastery",0.0113333333333334,0.105856088239172,0,0,0,1,16732
"attributenodes[57, 1]","222042 - referent_units","Student Mastery",0.0273888888888891,0.163218312901511,0,0,1,1,18000
"attributenodes[58, 1]","075968 - referent_units","Student Mastery",0.0915000000000001,0.288326843122409,0,0,1,1,16684
"attributenodes[59, 1]","408017 - referent_units","Student Mastery",0.504833333333334,0.499990527161749,0,1,1,1,17665
"attributenodes[60, 1]","046782 - referent_units","Student Mastery",0.0654444444444439,0.247315319347571,0,0,1,1,16433
"attributenodes[61, 1]","714191 - referent_units","Student Mastery",0.906944444444444,0.290518343784205,0,1,1,1,17958
"attributenodes[62, 1]","953970 - referent_units","Student Mastery",0.962722222222222,0.189446929134075,0,1,1,1.01,17471
"attributenodes[63, 1]","201930 - referent_units","Student Mastery",0.984166666666667,0.124833908210663,1,1,1,1,18282
"attributenodes[64, 1]","112994 - referent_units","Student Mastery",0.899888888888889,0.300156428814857,0,1,1,1,18238
"attributenodes[65, 1]","694075 - referent_units","Student Mastery",0.963611111111111,0.18726100983261,0,1,1,1,14661
"attributenodes[66, 1]","226867 - referent_units","Student Mastery",0.999944444444444,0.0074535599249994,1,1,1,1.29,9000
"attributenodes[67, 1]","688058 - referent_units","Student Mastery",0.984833333333333,0.122218937764413,1,1,1,1,18000
"attributenodes[68, 1]","110589 - referent_units","Student Mastery",1,0,1,1,1,NA,0
"attributenodes[69, 1]","548840 - referent_units","Student Mastery",0.999944444444444,0.00745355992500061,1,1,1,1.29,9000
"attributenodes[70, 1]","126534 - referent_units","Student Mastery",0.0138333333333337,0.116802098233204,0,0,0,1,18000
"attributenodes[71, 1]","050639 - referent_units","Student Mastery",0.999833333333333,0.0129092272084476,1,1,1,1.29,18000
"attributenodes[72, 1]","491194 - referent_units","Student Mastery",0.0122777777777778,0.110125872128937,0,0,0,1,16378
"attributenodes[73, 1]","449699 - referent_units","Student Mastery",0.984888888888889,0.12199832908009,1,1,1,1,18000
"attributenodes[74, 1]","233092 - referent_units","Student Mastery",0.191666666666667,0.393623123414886,0,0,1,1,15627
"attributenodes[75, 1]","567170 - referent_units","Student Mastery",0.0481666666666665,0.21412423045017,0,0,1,1,18426
"attributenodes[76, 1]","138579 - referent_units","Student Mastery",0.999388888888889,0.0247137934375896,1,1,1,1.02,18000
"attributenodes[77, 1]","129353 - referent_units","Student Mastery",0.990166666666667,0.0986771495500638,1,1,1,1.01,15212
"attributenodes[78, 1]","840002 - referent_units","Student Mastery",0.845777777777778,0.36117167017656,0,1,1,1,16364
"attributenodes[79, 1]","927567 - referent_units","Student Mastery",0.945777777777778,0.226461965917881,0,1,1,1,16644
"attributenodes[80, 1]","500902 - referent_units","Student Mastery",0.083277777777778,0.276309303131131,0,0,1,1,17671
"attributenodes[81, 1]","202706 - referent_units","Student Mastery",0.0828888888888892,0.275721860689966,0,0,1,1,12424
"attributenodes[82, 1]","695528 - referent_units","Student Mastery",0.105444444444445,0.307133772483504,0,0,1,1,17392
"attributenodes[83, 1]","631683 - referent_units","Student Mastery",0.930555555555555,0.25421546744056,0,1,1,1,18281
"attributenodes[84, 1]","302217 - referent_units","Student Mastery",0.999944444444444,0.00745355992499945,1,1,1,1.29,9000
"attributenodes[85, 1]","379230 - referent_units","Student Mastery",0.00994444444444433,0.0992275136978873,0,0,0,1,16802
"attributenodes[86, 1]","514087 - referent_units","Student Mastery",0.0567777777777782,0.231423933765214,0,0,1,1,12814
"attributenodes[87, 1]","299794 - referent_units","Student Mastery",0.999944444444444,0.00745355992500046,1,1,1,1.29,9000
"attributenodes[88, 1]","794947 - referent_units","Student Mastery",0.541388888888889,0.498297857072351,0,1,1,1,7362
"attributenodes[89, 1]","732781 - referent_units","Student Mastery",0.997666666666667,0.0482495411712376,1,1,1,1.02,15693
"attributenodes[90, 1]","934480 - referent_units","Student Mastery",0.998611111111111,0.037242944756698,1,1,1,1.03,18000
"attributenodes[91, 1]","547630 - referent_units","Student Mastery",0.239833333333332,0.426993483129679,0,0,1,1,15976
"attributenodes[92, 1]","291717 - referent_units","Student Mastery",0.354666666666667,0.47842547840335,0,0,1,1,18000
"attributenodes[93, 1]","818920 - referent_units","Student Mastery",0.468388888888889,0.49901359880989,0,0,1,1,9160
"attributenodes[94, 1]","893312 - referent_units","Student Mastery",0.773,0.418904224054224,0,1,1,1,15013
"attributenodes[95, 1]","189381 - referent_units","Student Mastery",0.00627777777777779,0.0789855295555181,0,0,0,1.03,14298
"attributenodes[96, 1]","661949 - referent_units","Student Mastery",0.334333333333333,0.471769986735621,0,0,1,1,16866
"attributenodes[97, 1]","138181 - referent_units","Student Mastery",0.0184444444444444,0.134555760786977,0,0,0,1,16328
"attributenodes[98, 1]","506707 - referent_units","Student Mastery",0.118333333333334,0.323011380634696,0,0,1,1,17212
"attributenodes[99, 1]","354564 - referent_units","Student Mastery",0.998222222222222,0.042127376838309,1,1,1,1.05,16954
"attributenodes[100, 1]","574158 - referent_units","Student Mastery",0.995666666666667,0.0656871012178474,1,1,1,1.01,18000
"attributenodes[101, 1]","634424 - referent_units","Student Mastery",0.146722222222221,0.353838617708847,0,0,1,1,11251
"attributenodes[102, 1]","434471 - referent_units","Student Mastery",0.00550000000000007,0.0739598126814911,0,0,0,1,17054
