"","Theta"
"949062",0.308468341849697
"489935",-0.275640490618295
"546995",-0.260629383187325
"291341",-1.41557825225731
"773245",-0.204562327599982
"569699",-0.9331287024052
"207712",0.254792784533862
"072657",-0.450440658973246
"611131",0.507711397151208
"751398",-1.0865262827114
"140783",0.27540664361502
"967697",-0.418539285664434
"388799",0.554295275369262
"217798",-0.324059627813337
"006198",-0.704819081271608
"051827",0.575258122533837
"961714",-0.0686658149573043
"379967",0.860005878270277
"275720",1.32463908576599
"237544",-0.689353283399539
"670143",0.197715683524851
"048629",0.366908449707971
"823683",-0.665445900218936
"262762",-0.834402901501313
"338247",0.406766564866167
"133060",-0.303617342507687
"406656",0.721739806523628
"402102",-0.579050226217117
"688844",0.41387294262059
"401359",-0.997469129591492
"593688",-0.638182269588055
"017737",-0.645202692629316
"721326",0.364335435647636
"360948",0.904585469414249
"171801",-0.248781216138077
"037597",0.431046397444583
"298241",0.0912485646119327
"091743",0.0858935090465543
"825897",-0.0772473205227563
"377260",0.0459111258538577
"131360",-1.0519804300108
"990978",-1.27685278236329
"288447",1.22618437189088
"558826",0.0383226967300749
"183836",-1.38010983844444
"535982",0.56679455373443
"254309",0.90734678227141
"253937",1.09731700899329
"644116",0.118070399110133
"175957",-1.24896194912263
"739726",0.57818988635804
"023325",1.54453997801773
"448125",-0.50332184796252
"045643",0.768923268108815
"697772",-0.423552654362895
"689170",-0.64248233058644
"222042",-1.55156851992158
"075968",-0.15033558794912
"408017",0.0623317362023663
"046782",-0.309964251926453
"714191",0.562242197041022
"953970",0.937307913437277
"201930",0.78497197413993
"112994",0.111216566340434
"694075",0.0258365000054792
"226867",1.46550421285326
"688058",0.62060899043853
"110589",2.10354763319557
"548840",1.28765471823157
"126534",0.096420032679953
"050639",1.32107930937251
"491194",-0.714174920486875
"449699",0.629636555482625
"233092",-0.427188682953186
"567170",-0.724454820890982
"138579",0.981578682168124
"129353",0.838369405681351
"840002",-0.106775052928006
"927567",0.4687526636866
"500902",-1.86086257838066
"202706",-0.384415921829538
"695528",-1.4657679347979
"631683",0.900334983125286
"302217",0.698524356207416
"379230",-1.1161658808945
"514087",-0.763148243742947
"299794",1.52775107787668
"794947",0.0681843830862507
"732781",0.640034953426664
"934480",1.34555797562254
"547630",-1.27450430598915
"291717",-0.354779594664575
"818920",-0.49241614596929
"893312",-0.621607947517455
"189381",-0.0522771180455101
"661949",-1.10729909344135
"138181",0.0296494706918413
"506707",-1.15873630430764
"354564",0.831842982987172
"574158",1.21908954678468
"634424",-0.475511413305849
"434471",-1.29546554962957
"547323",0.404226967209146
"123536",1.33055416149098
"132851",1.27894336229515
"394832",0.566147222240567
"453044",0.453808583944185
"713777",-0.206740122050056
"095616",0.620618561147239
"070709",-0.712659465135324
"087065",0.250962994848737
"821791",-0.478389574422449
"044807",-1.29767079719667
"113852",0.377157327272328
"868485",1.10492214298457
"838813",-0.914306358864232
"394295",0.490977807925463
"784383",0.623015460088998
"231023",1.53374428861178
"823110",0.239095600689273
"548338",-1.07424888396617
"344652",1.13378202361357
"837358",1.27326163102486
"483995",0.224705123772154
"085983",-0.58024855340125
"898921",0.711325355809367
"909476",0.671242506404364
"290814",0.16211030717824
"694715",0.816990666714476
"924791",-0.964290248319532
"966741",0.306497219898998
"929610",0.226697208771508
"202708",1.33090993576478
"212917",0.0389711130216487
"613719",-2.30966780571783
"987418",-0.405755173347841
"221606",0.453757193126575
"945658",-0.652833258088669
"520802",-0.14580311853816
"698435",-0.949707311323077
"655710",-0.157667572603379
"138008",1.25412572710024
"425839",-0.00571735368629424
"279044",0.634399269402506
"934096",1.52413021073942
"777235",0.511374865942171
"270380",-2.01416671949409
"837851",1.49645573478398
"116280",-0.951630027167044
"585846",0.630225145540465
"575464",0.673867515353374
"770474",1.39876873904967
"029751",-1.55779624560522
"948559",0.106765463169071
"496844",-0.579911408596702
"836791",-0.731642875235914
"903644",1.33865261603477
"404358",-1.48840199769375
"748221",-0.0795316925229188
"157460",-0.703883712320911
"180628",-0.301800026733263
"865680",-0.0440819005993452
"947900",-1.03489287581687
"427590",0.218359519534495
"787282",-1.22342049470478
"987733",-0.595897234058119
"795892",-1.02814218062181
"452341",0.541047046080392
"473847",1.13142652745434
"202787",0.946117404519416
"265021",0.387810562507954
"294108",-0.15944828475825
"759815",-1.29329752004186
"182668",-0.310197748507982
"747495",-0.628094047740677
"469900",0.446044408845292
"022902",1.20932535330762
"573860",-1.17382351016166
"042948",-1.06683152195724
"222242",1.66647481646077
"125777",-0.613498666775843
"436930",1.00442664184644
"154078",-0.234370330444598
"773640",0.679258677575845
"869127",-1.1471960427325
"895683",-0.261825728231853
"310411",-0.242645846296973
"471854",1.94427691861739
"542773",2.24846171359074
"659555",0.851948245429936
"395292",1.18381033360321
"193772",0.0104784112720166
"934214",1.46913379664701
"500717",0.568272360646718
"785796",1.93013071995806
"587398",0.257052617319928
"079745",0.366169910396341
"385808",0.477981635199931
"622101",1.1112311210376
"125607",-0.129351216413903
"148351",-1.14891506581163
"414840",-0.666195992616556
"353233",-0.993380349887832
"957172",0.144338640455249
"531605",-0.918907875241048
"352024",-0.383808178290768
"842639",-0.757534264226489
