"item","difficulty_mean","difficulty_SD","difficulty_Rhat","discrimination_mean","discrimination_SD","discrimination_Rhat"
"1",1.38751276077118,0.18433183016082,1,1.6788167638208,0.250202109140043,1
"2",-0.462223283067112,0.17004633108561,1,1.56408562709923,0.283716238930416,1
"3",2.77156640230352,0.316512387205921,1.02,2.62990032068338,0.357069503211789,1.02
"4",1.40594236982879,0.181370432338757,1,0.626846709671585,0.249749430115921,1
"5",2.23678383163389,0.273865635239073,1.01,2.14108549766533,0.311200671052073,1.01
"6",3.98395213066379,0.470659838432759,1.01,1.92831028953868,0.532445305368829,1.01
"7",0.994643452846976,0.159742502348893,1,1.05022139269435,0.230890658119157,1
"8a",0.363070506694889,0.214108077349514,1,3.92415724039151,0.690172527364058,1.01
"8b",0.12724921063605,0.176941479718552,1,1.95526537630131,0.312643289681907,1
"8c",-0.184204009006379,0.168343613222799,1,0.977791560592458,0.236746863867515,1.01
"8d",0.889891545146469,0.202647024739683,1.01,1.79556826415697,0.261999607059314,1
"9",1.35044995050215,0.172653928754423,1,0.666486230675313,0.242702929295207,1
"10a",1.41929257013464,0.381470103528171,1.01,5.4481046812226,0.850513661434847,1
"10b",1.59680196302742,0.209887361309945,1,3.37985846447901,0.316909717613894,1
"10c",2.3710921359807,0.262596336015136,1.01,3.16855101020873,0.315436063441744,1.01
"11",1.27252298877871,0.176569399134193,1,1.20863100994156,0.241862631211789,1
"12",1.46998645368203,0.197488910526029,1.01,1.57109610387898,0.26449115191195,1
"13",0.73109976609722,0.124336904247258,1,1.24395250383179,0.215294444935179,1
"14",1.98332313101393,0.167011520909739,1,0.802889696712998,0.263203393048282,1
"15a",1.31733642611269,0.154392228795608,1,2.48332552788922,0.263526166778908,1
"15b",0.91914728072185,0.169992164764206,1,3.42755291339527,0.371086257660496,1
"15c",0.478771450746605,0.147452315512804,1,2.74013911640598,0.327691525163282,1
"16",1.08071585670511,0.173143103602529,1.01,1.28314238457408,0.2415746575849,1.02
"17",1.89872287500789,0.175466517539823,1,2.26044734405254,0.256327260954188,1
"18",0.405533288303895,0.118703546671622,1,1.80367364559228,0.267000520810478,1
"21",1.87631030467073,0.215936350002795,1,1.72333584111053,0.271218298960708,1
"22",0.637270530100251,0.12134402327707,1,1.95620602322892,0.249700120459144,1
